Complaint,Department
Hostel room needs cleaning in Block A.,Hostel
Bathroom is dirty in Block A.,Hostel
Bus pass issue in Lab 1.,Others
Bonafide certificate delayed in Lab 1.,Others
Internet not working in lab in Block A.,CSE
Bad smell in corridor in Block A.,Cleaning
ID card not issued in Admin Block.,Others
Fan is not working in Second Floor.,Electrical
Website login problem in Lab 2.,Others
Power socket not working in First Floor.,Electrical
Door lock is broken in Block B.,Maintenance
Bad smell in corridor in Block B.,Cleaning
Library internet not working in Second Floor.,Library
Bus pass issue in Room 204.,Others
System is running very slow in Admin Block.,CSE
Bathroom is dirty in Room 101.,Hostel
Water leaking from ceiling in Admin Block.,Maintenance
Staircase is dusty in Room 204.,Cleaning
Hall ticket not generated in Second Floor.,Others
Drinking water cooler not working in Room 101.,Hostel
Garbage not collected in Room 101.,Cleaning
Insufficient seating in library in Block A.,Library
Printer not working in Room 101.,CSE
Garbage not collected in Block A.,Cleaning
Bonafide certificate delayed in Block B.,Others
Drinking water cooler not working in Lab 2.,Hostel
Oscilloscope not working in Block B.,ECE
Scholarship not received in Lab 2.,Others
Hostel WiFi not working in Lab 2.,Hostel
Room lock is broken in First Floor.,Hostel
Floor needs mopping in Block B.,Cleaning
Website login problem in Room 204.,Others
Wall has cracks in Room 101.,Maintenance
Water leaking from ceiling in Lab 1.,Maintenance
Switch board is damaged in Second Floor.,Electrical
Monitor display is blank in Block B.,CSE
Loose electrical wiring in Lab 1.,Electrical
General enquiry not resolved in Room 101.,Others
Window glass is broken in Lab 1.,Maintenance
Fee payment portal not working in Block A.,Others
Campus area is dirty in Lab 1.,Cleaning
Arduino board not detected in Admin Block.,ECE
Mouse is not responding in Admin Block.,CSE
Garbage not collected in Block A.,Cleaning
Classroom is very dirty in Lab 2.,Cleaning
Power socket not working in Block A.,Electrical
Plumbing problem in Room 101.,Maintenance
Library internet not working in Lab 2.,Library
Microcontroller kit not working in Block A.,ECE
Loose electrical wiring in Admin Block.,Electrical
Tube light not working in Lab 2.,Electrical
No water supply in hostel in First Floor.,Hostel
Washroom needs cleaning in Admin Block.,Cleaning
Power socket not working in Block B.,Electrical
Printer not working in Block B.,CSE
Power socket not working in First Floor.,Electrical
Insufficient seating in library in Lab 1.,Library
Floor needs mopping in Room 204.,Cleaning
Window glass is broken in Room 101.,Maintenance
Hostel room needs cleaning in Admin Block.,Hostel
Library computer not working in Admin Block.,Library
Microcontroller kit not working in Lab 1.,ECE
Library computer not working in Lab 1.,Library
Water leaking from ceiling in Room 204.,Maintenance
Library computer not working in Room 101.,Library
Loose electrical wiring in Block B.,Electrical
Breadboard is damaged in Room 204.,ECE
Lab equipment is faulty in Room 101.,ECE
Book return portal not working in Room 204.,Library
Light is flickering in Block A.,Electrical
Signal generator issue in Room 204.,ECE
Keyboard not working in Second Floor.,CSE
Website login problem in Lab 2.,Others
Power outage in classroom in Lab 1.,Electrical
Library computer not working in Lab 2.,Library
Fee payment portal not working in Block A.,Others
Dustbins are overflowing in Room 204.,Cleaning
Window glass is broken in Room 101.,Maintenance
Room lock is broken in Room 101.,Hostel
Hostel WiFi not working in Block B.,Hostel
Loose electrical wiring in Lab 1.,Electrical
Library internet not working in Second Floor.,Library
Power outage in classroom in First Floor.,Electrical
General enquiry not resolved in Block B.,Others
Microcontroller kit not working in Room 204.,ECE
Internet not working in lab in Block A.,CSE
Insufficient seating in library in First Floor.,Library
Room lock is broken in Room 204.,Hostel
Website login problem in Lab 1.,Others
Campus area is dirty in Block A.,Cleaning
Keyboard not working in Second Floor.,CSE
Bonafide certificate delayed in Room 101.,Others
General enquiry not resolved in Admin Block.,Others
System is running very slow in Room 204.,CSE
Internet not working in lab in Second Floor.,CSE
Staircase is dusty in Block A.,Cleaning
Mess food quality is poor in First Floor.,Hostel
Computer not starting in Second Floor.,CSE
Book return portal not working in Room 204.,Library
Fan is not working in Lab 2.,Electrical
Staircase is dusty in Admin Block.,Cleaning
Floor needs mopping in Block A.,Cleaning
Bathroom is dirty in Second Floor.,Hostel
Power outage in classroom in First Floor.,Electrical
Fan is not working in Admin Block.,Electrical
Loose electrical wiring in Room 204.,Electrical
Reading room is noisy in Room 101.,Library
Oscilloscope not working in Block A.,ECE
Lab equipment is faulty in Block B.,ECE
Bathroom is dirty in Lab 1.,Hostel
Bathroom is dirty in First Floor.,Hostel
Monitor display is blank in Room 204.,CSE
Garbage not collected in Block A.,Cleaning
Door lock is broken in Block B.,Maintenance
Library AC not working in First Floor.,Library
ID card not issued in First Floor.,Others
Bathroom is dirty in Second Floor.,Hostel
Book issue system not working in Second Floor.,Library
Signal generator issue in Lab 1.,ECE
Fan is not working in Block A.,Electrical
Software installation required in Room 101.,CSE
Computer not starting in Room 204.,CSE
Library internet not working in Admin Block.,Library
Broken classroom bench in Room 101.,Maintenance
Room lock is broken in Lab 1.,Hostel
Window glass is broken in Lab 2.,Maintenance
Fan is not working in Room 204.,Electrical
Window glass is broken in Admin Block.,Maintenance
Mess food quality is poor in Room 204.,Hostel
Digital trainer board failed in Block B.,ECE
Roof seepage issue in Second Floor.,Maintenance
Dustbins are overflowing in First Floor.,Cleaning
Lab equipment is faulty in Lab 1.,ECE
Monitor display is blank in Room 204.,CSE
System is running very slow in First Floor.,CSE
Hostel room needs cleaning in Room 101.,Hostel
Wall has cracks in Room 204.,Maintenance
Broken classroom bench in Room 204.,Maintenance
Printer not working in Block A.,CSE
Function generator faulty in Admin Block.,ECE
Library AC not working in Lab 1.,Library
Oscilloscope not working in Block A.,ECE
Bus pass issue in First Floor.,Others
Computer not starting in Block A.,CSE
Library internet not working in Block B.,Library
Function generator faulty in Room 101.,ECE
ID card not issued in Block B.,Others
Classroom is very dirty in Lab 1.,Cleaning
General enquiry not resolved in Block B.,Others
Water leaking from ceiling in First Floor.,Maintenance
Signal generator issue in Block B.,ECE
Power outage in classroom in Admin Block.,Electrical
General enquiry not resolved in Lab 1.,Others
Mess food quality is poor in Lab 2.,Hostel
Garbage not collected in Room 204.,Cleaning
Lab equipment is faulty in Block B.,ECE
Tube light not working in Room 101.,Electrical
Insufficient seating in library in Second Floor.,Library
Bus pass issue in First Floor.,Others
Arduino board not detected in First Floor.,ECE
Washroom needs cleaning in Room 101.,Cleaning
Wall has cracks in First Floor.,Maintenance
Monitor display is blank in Block B.,CSE
Roof seepage issue in Block A.,Maintenance
Microcontroller kit not working in Block A.,ECE
Staircase is dusty in Room 101.,Cleaning
Library internet not working in Block B.,Library
Computer not starting in Second Floor.,CSE
Keyboard not working in Lab 2.,CSE
Microcontroller kit not working in Block A.,ECE
Generator backup failed in Block A.,Electrical
Bathroom is dirty in Block B.,Hostel
Generator backup failed in Admin Block.,Electrical
ID card not issued in Block A.,Others
Library internet not working in Block B.,Library
Mess food quality is poor in Room 101.,Hostel
Hostel WiFi not working in Admin Block.,Hostel
Oscilloscope not working in First Floor.,ECE
Printer not working in Block A.,CSE
Reading room is noisy in Room 101.,Library
Light is flickering in Lab 1.,Electrical
Book return portal not working in Admin Block.,Library
Book issue system not working in Second Floor.,Library
Reading room is noisy in Room 101.,Library
Room lock is broken in Block A.,Hostel
Hall ticket not generated in First Floor.,Others
Monitor display is blank in First Floor.,CSE
Bathroom is dirty in Lab 2.,Hostel
Loose electrical wiring in Second Floor.,Electrical
Website login problem in Lab 1.,Others
Mess food quality is poor in First Floor.,Hostel
Website login problem in Admin Block.,Others
Roof seepage issue in Second Floor.,Maintenance
Book return portal not working in Second Floor.,Library
Water leaking from ceiling in Lab 1.,Maintenance
Water leaking from ceiling in Second Floor.,Maintenance
Loose electrical wiring in Room 101.,Electrical
ID card not issued in Lab 2.,Others
Generator backup failed in Room 101.,Electrical
Mess food quality is poor in Lab 1.,Hostel
Reading room is noisy in Block A.,Library
Lab equipment is faulty in Room 101.,ECE
Keyboard not working in First Floor.,CSE
Fan is not working in Room 101.,Electrical
Library internet not working in First Floor.,Library
Wall has cracks in Block B.,Maintenance
Hostel room needs cleaning in Block A.,Hostel
Reading room is noisy in Lab 2.,Library
Internet not working in lab in Block B.,CSE
Roof seepage issue in Lab 1.,Maintenance
Bathroom is dirty in Lab 1.,Hostel
Drinking water cooler not working in Admin Block.,Hostel
Switch board is damaged in Block A.,Electrical
Fan is not working in First Floor.,Electrical
Scholarship not received in Admin Block.,Others
Dustbins are overflowing in Block A.,Cleaning
No water supply in hostel in Room 101.,Hostel
Roof seepage issue in Room 101.,Maintenance
Wall has cracks in First Floor.,Maintenance
Dustbins are overflowing in Block B.,Cleaning
Function generator faulty in Lab 1.,ECE
Staircase is dusty in Second Floor.,Cleaning
Tap is leaking in Second Floor.,Maintenance
Switch board is damaged in First Floor.,Electrical
Signal generator issue in First Floor.,ECE
Loose electrical wiring in Second Floor.,Electrical
Book return portal not working in First Floor.,Library
Water leaking from ceiling in First Floor.,Maintenance
Printer not working in Lab 2.,CSE
Bonafide certificate delayed in Admin Block.,Others
Arduino board not detected in Lab 2.,ECE
Power outage in classroom in First Floor.,Electrical
Library internet not working in First Floor.,Library
General enquiry not resolved in Admin Block.,Others
Oscilloscope not working in Lab 1.,ECE
Required book is unavailable in Lab 1.,Library
Insufficient seating in library in Lab 1.,Library
Lab equipment is faulty in Block A.,ECE
Tube light not working in Block B.,Electrical
Hostel room needs cleaning in Block B.,Hostel
Oscilloscope not working in Second Floor.,ECE
Signal generator issue in Block A.,ECE
Staircase is dusty in Admin Block.,Cleaning
Insufficient seating in library in Lab 1.,Library
Mess food quality is poor in Room 101.,Hostel
Software installation required in Block B.,CSE
System is running very slow in Admin Block.,CSE
Book issue system not working in Second Floor.,Library
Internet not working in lab in Block B.,CSE
Floor needs mopping in Block A.,Cleaning
Computer not starting in Room 204.,CSE
System is running very slow in Lab 2.,CSE
Campus area is dirty in Block A.,Cleaning
Breadboard is damaged in Room 204.,ECE
Power socket not working in Lab 1.,Electrical
Printer not working in Lab 2.,CSE
Generator backup failed in Room 204.,Electrical
Hostel WiFi not working in Second Floor.,Hostel
Book return portal not working in Room 101.,Library
Broken classroom bench in Block B.,Maintenance
Tap is leaking in Room 101.,Maintenance
Insufficient seating in library in Room 101.,Library
Book return portal not working in Lab 2.,Library
Website login problem in Second Floor.,Others
Dustbins are overflowing in Room 204.,Cleaning
Floor needs mopping in Admin Block.,Cleaning
Fan is not working in Lab 2.,Electrical
Internet not working in lab in Room 101.,CSE
Book return portal not working in Block A.,Library
Drinking water cooler not working in Room 101.,Hostel
Breadboard is damaged in Room 204.,ECE
Plumbing problem in Block B.,Maintenance
Fee payment portal not working in Second Floor.,Others
Drinking water cooler not working in Block B.,Hostel
Tube light not working in Room 204.,Electrical
Water leaking from ceiling in Block B.,Maintenance
Insufficient seating in library in Lab 1.,Library
Library computer not working in Block B.,Library
Scholarship not received in Block A.,Others
Software installation required in Second Floor.,CSE
Power socket not working in Block B.,Electrical
Tap is leaking in Room 101.,Maintenance
ID card not issued in Admin Block.,Others
Insufficient seating in library in Lab 2.,Library
Keyboard not working in Block A.,CSE
Digital trainer board failed in Room 204.,ECE
System is running very slow in Room 101.,CSE
Bathroom is dirty in Admin Block.,Hostel
